
Video time	m	s	boosterSpeed km/h	boosterAlt km	shipSpeed km/h	shipAlt km
117.524934	NaN	34	652	0	15487	144
117.713597	NaN	34	623	0	15500	144
117.878999	6	34	592	0	15513	144
118.093664	6	35	551	0	15530	144
118.283749	6	35	521	0	15547	144
118.457373	6	35	490	0	15560	144
118.627953	6	35	453	0	15577	144
118.818798	6	35	417	0	15595	144
119.020091	6	36	386	0	15609	144
119.195153	6	36	349	0	15623	144
119.371402	6	36	320	0	15641	144
119.538134	6	36	294	0	15655	144
119.704916	6	36	274	0	15669	144
119.872274	6	36	259	0	15681	144
120.056017	6	37	247	0	1	144
120.249645	6	37	238	0	15713	144
120.422338	6	37	232	0	15730	144
120.612244	6	37	228	0	15745	144
120.839439	6	37	224	0	1	144
121.059239	6	38	222	0	15781	144
121.227753	6	38	220	0	1	144
121.407541	6	38	218	0	15814	144
121.568456	6	38	216	0	1	144
121.773837	6	38	214	0	15848	144
121.9757	6	39	211	0	15865	144
122.170758	6	39	208	0	15883	144
122.366422	6	39	204	0	1	144
122.566263	6	39	201	0	15916	144
122.766031	6	39	197	0	15934	144
122.963409	6	40	194	0	15951	144
123.162243	6	40	190	0	15969	144
123.353737	6	40	186	0	15987	144
123.569331	6	40	183	0	NaN	NaN
123.748286	NaN	NaN	179	0	NaN	NaN
123.945423	NaN	NaN	176	0	NaN	NaN
124.141884	NaN	4	173	0	NaN	NaN
124.315548	NaN	NaN	169	0	NaN	NaN
124.514102	NaN	NaN	166	0	NaN	NaN
124.71327	NaN	NaN	163	0	NaN	NaN
124.906352	NaN	NaN	160	0	NaN	NaN
125.078171	NaN	NaN	158	0	NaN	NaN
125.263701	NaN	NaN	155	0	NaN	NaN
125.504366	NaN	NaN	152	0	NaN	NaN
125.73737	NaN	NaN	148	0	NaN	NaN
125.978991	NaN	NaN	144	0	NaN	NaN
126.174371	5	NaN	141	0	NaN	NaN
126.353919	6	NaN	139	0	NaN	NaN
126.540323	6	43	136	0	NaN	NaN
126.712734	6	43	133	0	NaN	144
127.06157	6	NaN	126	0	NaN	144
127.302291	6	NaN	122	0	1634	144
127.482746	6	NaN	120	0	16354	144
